,n_windows,win_rate,rw_spd_percentile,mean_spd_percentile
Neutral (constant),3076.0,0.7041612483745123,41.941600319869856,39.36621193512349
Momentum (20-day MA),3076.0,0.12191157347204161,41.2832411099008,38.83110447498949
MA Crossover (50/200),3076.0,0.12418725617685306,40.229051527740815,37.220505333240716
Volatility-Adjusted,3076.0,0.16612483745123538,40.98612595291804,38.815374807968425
