block,train_start,train_end,val_end,test_start,test_end,n_periods,temp,best_val_f1,alpha_vs_naive,unit_accumulation_improvement,unit_cost_improvement,max_drawdown_pct,information_ratio
1,2024-01-03,2025-01-01,2025-05-01,2025-05-02,2025-06-30,8,1.4919428825378418,0.7017543859649122,-0.3517440390438937,-0.3563471087003556,-0.3576214825133857,-5.480884179798517,4.700283746702388
2,2024-02-02,2025-01-31,2025-05-31,2025-06-01,2025-07-30,8,1.4939850568771362,0.78125,0.828119510856383,0.7758259080568805,0.7698531875736938,-5.48088417979854,2.1520939274255193
3,2024-03-03,2025-03-02,2025-06-30,2025-07-01,2025-08-29,8,1.4876633882522583,0.7804878048780488,0.11635480919267131,0.11927826858294321,0.11913616502804869,-4.770548167369437,-0.3559059472997186
4,2024-04-02,2025-04-01,2025-07-30,2025-07-31,2025-09-28,8,1.486859679222107,0.8260869565217391,-0.26450128307257614,-0.2578797408573728,-0.2585464798495993,-4.7705481673694266,1.9157575519865395
5,2024-05-02,2025-05-01,2025-08-29,2025-08-30,2025-10-28,8,1.5030038356781006,0.8,0.16748384875397496,0.17759340602487117,0.1772785709725202,-11.186008605349784,1.2154469527680427
6,2024-06-01,2025-05-31,2025-09-28,2025-09-29,2025-11-27,8,1.4817159175872803,0.7906976744186046,1.1517151721853913,1.3662359626988536,1.3478215401049405,-11.186008605349773,0.7170344640210291
7,2024-07-01,2025-06-30,2025-10-28,2025-10-29,2025-12-27,8,1.4804692268371582,0.8620689655172413,-0.04608434931041988,-0.04921865639064984,-0.04924289308099137,-11.11902715117864,-1.63475336317509
