date,price,prob_up,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,units_purchased,units_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_units,cumulative_units_naive,portfolio_value,portfolio_value_naive,dynamic_pct,naive_pct,tracking_error
2025-09-15,660.91,0.3316100239753723,0.7474150359630585,0.7474150359630585,74.74150359630585,100.0,98.55472392775508,0.14911973480164484,0.15130653190298227,98.55472392775508,100.0,0.14911973480164484,0.15130653190298227,98.55472392775509,100.0,0.0,0.0,0.0
2025-09-22,666.84,0.3086784780025482,0.7130177170038223,0.7177511590040324,71.77511590040324,100.0,94.64322220026212,0.14192793203806328,0.14996101013736426,193.19794612801718,200.0,0.2910476668397081,0.30126754204034656,194.08222615539097,200.8972477341847,0.9692838498300873,1.008972477341847,-0.03968862751175961
2025-09-29,663.68,0.2617259621620178,0.7,0.7029834372938076,70.29834372938076,100.0,92.6959390093135,0.13966962844942368,0.15067502410800387,285.8938851373307,300.0,0.43071729528913183,0.45194256614835043,285.858454537491,299.9452423013372,0.47287291680496213,0.4930281309687574,-0.020155214163795288
2025-10-06,671.61,0.352988600730896,0.779482901096344,0.7469092437889184,74.69092437889185,100.0,98.4880297810111,0.14664467441076084,0.14889593662988937,384.3819149183418,400.0,0.5773619696998926,0.6008385027782398,387.7620724701449,403.52914685089365,0.3564827848017662,0.3453427157397344,0.011140069062031799
2025-10-13,663.04,0.32057711482048035,0.7308656722307205,0.7886650742418801,78.86650742418801,100.0,103.99398583575278,0.15684421126289935,0.15082046332046334,488.3759007540946,500.0,0.734206180962792,0.7516589660987032,486.8080662255696,498.37996088208416,0.255429813247273,0.23505319199715324,0.020376621250119742
2025-10-20,671.3,0.4367992877960205,0.9051989316940308,0.8467384577617214,84.67384577617214,100.0,111.65158704118463,0.16632144650854258,0.14896469536719797,600.0274877952792,600.0,0.9005276274713345,0.9006236614659011,604.5241963215068,604.5886639420594,0.2418122012822026,0.21310789236388272,0.028704308918319876
2025-10-27,685.24,0.3600650131702423,0.7900975197553635,0.8946278019589865,89.46278019589865,100.0,117.96631295563087,0.1721532790783242,0.1459342712042496,717.99380075091,700.0,1.0726809065496588,1.0465579326701506,735.0438644040881,717.143357782894,0.21590478739608043,0.18616739041541353,0.029737396980666908
2025-11-03,683.34,0.22464467585086823,0.7,0.7327110946752466,73.27110946752467,100.0,96.61585087256833,0.14138767066550814,0.1463400357069687,814.6096516234784,800.0,1.214068577215167,1.1928979683771193,829.6216215542122,815.1548977108207,0.12866954168347466,0.13666938257775585,-0.007999840894281185
2025-11-10,681.44,0.4421885013580322,0.9132827520370483,0.8482052489405191,84.82052489405191,100.0,111.84499925893564,0.16413036989160548,0.14674806292556938,926.4546508824141,900.0,1.3781989471067724,1.3396460313026886,939.1598905164391,912.8883915709042,0.13203400938010512,0.11989561018960448,0.012138399190500637
2025-11-17,665.67,0.3365353047847748,0.7548029571771622,0.8229339812484116,82.29339812484116,100.0,108.5127103821259,0.1630127696638363,0.1502245857557048,1034.96736126454,1000.0,1.5412117167706088,1.4898706170583933,1025.938403502691,991.7621736572606,0.09240014811379238,0.08640024653027956,0.005999901583512823
2025-11-24,668.73,0.25756967067718506,0.7,0.7206615142284204,72.06615142284204,100.0,95.02698388803935,0.14210067424526993,0.14953718242040884,1129.9943451525792,1100.0,1.6833123910158787,1.639407799478802,1125.6814952440486,1096.3211777454594,0.09722132576460862,0.10542749750438962,-0.008206171739780999
2025-12-01,680.27,0.2495294213294983,0.7,0.7049608295662436,70.49608295662436,100.0,92.95667948164787,0.13664674244292394,0.14700045570141268,1222.951024634227,1200.0,1.8199591334588026,1.7864082551802147,1238.0635997180195,1215.2399437514446,0.09983472674000593,0.10847073687889242,-0.008636010138886485
2025-12-08,683.63,0.243087500333786,0.7,0.7008337666251985,70.08337666251985,100.0,92.41248177459602,0.13517909069905654,0.14627795737460322,1315.363506408823,1300.0,1.9551382241578592,1.9326862125548179,1336.5911441810372,1321.24227548885,0.07958197340222117,0.08722749139579489,-0.007645517993573714
2025-12-15,680.73,0.25778892636299133,0.7,0.700140131156697,70.0140131156697,100.0,92.3210184659718,0.13562061091177383,0.14690112085555213,1407.6845248747948,1400.0,2.090758835069633,2.07958733341037,1423.2422617969514,1415.6374854724413,0.06482993546168347,0.07144428522669366,-0.006614349765010186
2025-12-22,678.87,0.2543772757053375,0.7,0.7000980918096879,70.00980918096879,100.0,92.31547512520498,0.13598402510820184,0.14730360746534682,1499.9999999999998,1500.0,2.226742860177835,2.226890940875717,1511.6689254889268,1511.7694530322979,0.062130437006789,0.06790719272863455,-0.00577675572184555
