date,prob_up,price,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,btc_purchased,btc_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_btc,cumulative_btc_naive,portfolio_value,portfolio_value_naive,daily_return
2025-09-13,0.39576706290245056,115968.35,0.8436505943536758,0.8436505943536758,84.36505943536758,100.0,100.43508046734827,0.0008660559580898432,0.0008623042407691409,100.43508046734827,100.0,0.0008660559580898432,0.0008623042407691409,100.43508046734827,100.0,
2025-09-14,0.39795809984207153,115314.13,0.8469371497631073,0.8446365609765052,84.46365609765051,100.0,100.55245801412501,0.0008719873099170501,0.000867196413830638,200.98753848147328,200.0,0.0017380432680068933,0.001729500654599779,200.42094735257174,199.43586331960404,0.9955273239187492
2025-09-15,0.3975105285644531,115381.08,0.8462657928466797,0.8451253305375575,84.51253305375575,100.0,100.61064514813857,0.0008719856422572797,0.0008666932221469933,301.59818362961187,300.0,0.002610028910264173,0.0025961938767467725,301.14795449750335,299.5516533884295,0.502577242925297
2025-09-16,0.3963104784488678,116764.2,0.8444657176733017,0.8449274466782807,84.49274466782806,100.0,100.5870874318723,0.0008614548588683201,0.0008564268842676094,402.1852710614842,400.0,0.003471483769132493,0.0034526207610143817,405.3450251157402,403.14250106323544,0.345999596085919
2025-09-17,0.3960551619529724,116469.0,0.8440827429294586,0.844674035553634,84.46740355536339,100.0,100.55691929489053,0.000863379262249101,0.0008585975667344959,502.7421903563747,500.0,0.004334863031381594,0.004311218327748878,504.87716240198284,502.12328741458407,0.24554917692112466
2025-09-18,0.3941388726234436,117117.99,0.8412083089351654,0.8436343175680934,84.36343175680933,100.0,100.43314274540428,0.0008575381352207656,0.0008538397901125181,603.175333101779,600.0,0.00519240116660236,0.005165058117861396,608.1235879061235,604.9212249971098,0.2044981100213361
2025-09-19,0.3991129696369171,115690.55,0.8486694544553757,0.845144858634278,84.51448586342781,100.0,100.61296993280493,0.0008696731922599117,0.0008643748344181958,703.7883030345839,700.0,0.006062074358862271,0.0060294329522795915,701.3247167176736,697.5484144373497,0.1532601771499409
2025-09-20,0.3880915641784668,115739.1,0.8321373462677002,0.8412426049243047,84.12426049243047,100.0,100.14841367220578,0.0008652945605435482,0.000864012248237631,803.9367167067896,800.0,0.006927368919405819,0.006893445200517222,801.7674441000021,797.8411434071829,0.14321857620022094
2025-09-21,0.37985536456108093,115282.27,0.8197830468416214,0.8348047374994996,83.48047374994995,100.0,99.38199717564208,0.0008620752972303727,0.000867436076683778,903.3187138824317,900.0,0.007789444216636192,0.007760881277201001,897.9848113321921,894.6920108362307,0.12000657789266511
2025-09-22,0.37750425934791565,112736.59,0.8162563890218735,0.8292402329562116,82.92402329562117,100.0,98.71955295370185,0.0008756655931645782,0.0008870234588433091,1002.0382668361335,1000.0,0.00866510980980077,0.00864790473604431,976.8749319324875,974.9352905864856,0.0878523997340881
2025-09-23,0.37201425433158875,112017.21,0.8080213814973831,0.8228745775185631,82.28745775185631,100.0,97.9617331638664,0.0008745239518451351,0.0008927199668693765,1100.0,1100.0,0.009539633761645905,0.009540624702913687,1068.6031584013792,1068.71416087747,0.09389966255703985
