date,equity
2025-01-03,99900.55240000002
2025-01-06,100473.4324
2025-01-07,99342.7924
2025-01-08,99487.27240000002
2025-01-10,97975.27240000002
2025-01-13,98028.79888000002
2025-01-14,97930.99096000002
2025-01-15,99710.11096
2025-01-16,99518.59096000002
2025-01-17,100516.51096000001
2025-01-21,101435.47096
2025-01-22,101903.10904000002
2025-01-23,101903.10904000002
2025-01-24,101801.57805000004
2025-01-27,100365.37805000003
2025-01-28,101225.42805000003
2025-01-29,100772.85805000002
2025-01-30,101312.26805000003
2025-01-31,100674.02411000004
2025-02-03,100573.59875000005
2025-02-04,101247.27875000004
2025-02-05,101657.19875000005
2025-02-06,102009.99875000006
2025-02-07,101077.59875000005
2025-02-10,101661.42395000005
2025-02-11,101661.42395000005
2025-02-12,101661.42395000005
2025-02-13,101661.42395000005
2025-02-14,101661.42395000005
2025-02-18,101661.42395000005
2025-02-19,101661.42395000005
2025-02-20,101661.42395000005
2025-02-21,101661.42395000005
2025-02-24,101661.42395000005
2025-02-25,101661.42395000005
2025-02-26,101560.35215000006
2025-02-27,99947.05215000006
2025-02-28,101499.15215000007
2025-03-03,99729.45215000007
2025-03-04,98554.75215000007
2025-03-05,99509.63195000007
2025-03-06,99410.55312000008
2025-03-07,99965.88312000007
2025-03-10,97312.0631200001
2025-03-11,96505.88312000007
2025-03-12,97016.23312000008
2025-03-13,95631.98746000008
2025-03-14,95536.8725700001
2025-03-17,96270.3325700001
2025-03-18,95234.3625700001
2025-03-19,96266.95257000011
2025-03-20,95989.7925700001
2025-03-21,95639.28995000012
2025-03-24,95543.99267000014
2025-03-25,95773.07267000013
2025-03-26,94632.65267000013
2025-03-27,94381.99267000014
2025-03-28,92486.27267000012
2025-03-31,93012.59393000012
2025-04-01,92920.03388000013
2025-04-02,93505.78388000013
2025-04-03,88915.48388000015
2025-04-04,83731.18388000013
2025-04-07,83582.68388000013
2025-04-08,82197.26468000012
2025-04-09,82115.52030000013
2025-04-10,78533.56030000014
2025-04-11,79928.20030000014
2025-04-14,80700.02030000013
2025-04-15,80475.03030000013
2025-04-16,78616.15696000012
2025-04-17,78537.72187000014
2025-04-21,76670.75187000014
2025-04-22,78662.88187000014
2025-04-23,79880.21187000013
2025-04-24,81559.44187000016
2025-04-25,82065.94651000014
2025-04-28,82065.94651000014
2025-04-29,82065.94651000014
2025-04-30,82065.94651000014
2025-05-01,82065.94651000014
2025-05-02,82065.94651000014
2025-05-05,82065.94651000014
2025-05-06,82065.94651000014
2025-05-07,81984.01861000014
2025-05-08,82554.87861000015
2025-05-09,82449.75861000015
2025-05-12,85172.65861000016
2025-05-13,85734.75861000015
2025-05-14,85758.47047000015
2025-05-15,85672.85377000016
2025-05-16,86215.15377000015
2025-05-19,86309.40377000015
2025-05-20,86019.40377000015
2025-05-21,84570.85377000015
2025-05-22,84519.65572000016
2025-05-23,84519.65572000016
2025-05-27,84435.71242000017
2025-05-28,83950.07242000017
2025-05-29,84279.51242000016
2025-05-30,84185.79242000017
2025-06-02,84657.23242000017
2025-06-03,85052.54764000016
2025-06-04,85052.54764000016
2025-06-05,85052.54764000016
2025-06-06,85052.54764000016
2025-06-09,85052.54764000016
2025-06-10,85052.54764000016
2025-06-11,84967.75588000017
2025-06-12,85304.74588000018
2025-06-13,84352.99588000018
2025-06-16,85153.87588000017
2025-06-17,84427.72588000017
2025-06-18,84330.79684000018
2025-06-20,84330.79684000018
2025-06-23,84330.79684000018
2025-06-24,84330.79684000018
2025-06-25,84330.79684000018
2025-06-26,84330.79684000018
2025-06-27,84330.79684000018
2025-06-30,84330.79684000018
2025-07-01,84330.79684000018
2025-07-02,84247.0360900002
2025-07-03,84907.1860900002
2025-07-07,84278.08609000019
2025-07-08,84232.1860900002
2025-07-09,84734.38609000019
2025-07-10,84887.5003900002
2025-07-11,84887.5003900002
2025-07-14,84803.15104000022
2025-07-15,84442.70104000022
2025-07-16,84723.50104000022
2025-07-17,85239.20104000022
2025-07-18,85177.10104000023
2025-07-21,85252.86709000022
2025-07-22,85167.97099000023
2025-07-23,85890.22099000023
2025-07-24,85918.57099000023
2025-07-25,86280.37099000023
2025-07-28,86258.77099000024
2025-07-29,85946.21089000023
2025-07-30,85860.55879000024
2025-07-31,85539.25879000024
2025-08-01,84140.65879000023
2025-08-04,85416.40879000023
2025-08-05,84984.40879000023
2025-08-06,85548.33349000024
2025-08-07,85548.33349000024
2025-08-08,85462.95137000024
2025-08-11,85294.11137000025
2025-08-12,86201.29137000025
2025-08-13,86496.09137000024
2025-08-14,86504.13137000025
2025-08-15,86215.57041000025
2025-08-18,86215.57041000025
2025-08-19,86129.83587000026
2025-08-20,85902.03587000027
2025-08-21,85558.99587000026
2025-08-22,86866.83587000026
2025-08-25,86486.27587000027
2025-08-26,86760.28443000026
2025-08-27,86673.63601000026
2025-08-28,86980.49601000026
2025-08-29,86461.91601000026
2025-09-02,85821.39601000026
2025-09-03,86286.37601000027
2025-09-04,86920.31393000027
2025-09-05,86920.31393000027
