date,price,prob_up,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,btc_purchased,btc_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_btc,cumulative_btc_naive,portfolio_value,portfolio_value_naive,excess_value,excess_return
2025-09-15,115381.08,0.8239442110061646,1.4859163165092468,1.4889709779620168,148.89709779620168,100.0,122.57156351053793,0.0010623194332254294,0.0008666932221469933,122.57156351053793,100.0,0.0010623194332254294,0.0008666932221469933,122.57156351053793,100.0,22.571563510537928,0.1841500823198471
2025-09-22,112736.59,0.8232499957084656,1.4848749935626984,1.4966946341014844,149.66946341014844,100.0,123.2073721482107,0.0010928782939790063,0.0008870234588433091,245.77893565874862,200.0,0.0021551977272044357,0.0017537166809903023,242.96964254077832,197.70803844096451,45.26160409981381,0.18415574946852734
2025-09-29,114365.2,0.8639654517173767,1.545948177576065,1.5214199296135793,152.14199296135794,100.0,125.24274971703721,0.0010951124093433774,0.0008743918604610494,371.02168537578586,300.0,0.003250310136547813,0.0026281085414513517,371.72236882831794,300.5641589647921,71.15820986352583,0.1917898944139987
2025-10-06,124720.09,0.8365986943244934,1.5048980414867401,1.4895394056581992,148.95394056581992,100.0,122.6183562771499,0.0009831483947546054,0.0008017954445029667,493.6400416529358,400.0,0.0042334585313024186,0.0034299039859543184,527.9973290353055,427.77793381958134,100.21939521572415,0.20302120322359413
2025-10-13,115274.03,0.7767159342765808,1.4150739014148712,1.4510445285128573,145.1044528512857,100.0,119.44947162547672,0.001036221876041609,0.0008674980826123629,613.0895132784125,500.0,0.005269680407344027,0.0042974020685666815,607.4572973665876,495.3788549740177,112.07844239256985,0.18280926351724022
2025-10-20,110574.4,0.668757975101471,1.2531369626522064,1.300384327618945,130.0384327618945,100.0,107.04717725191263,0.0009681009099024063,0.000904368461416024,720.1366905303252,600.0,0.0062377813172464335,0.005201770529982706,689.738926485734,575.1826552905196,114.55627119521444,0.1590757320125608
2025-10-27,114087.06,0.6718146800994873,1.257722020149231,1.2539950507915083,125.39950507915083,100.0,103.22842841461518,0.0009048215320354051,0.0008765235952263123,823.3651189449404,700.0,0.007142602849281839,0.006078294125209018,814.8785598221881,693.4547065603688,121.42385326181932,0.14747267095479072
2025-11-03,106538.3,0.49376463890075684,0.9906469583511353,1.0960626540541152,109.60626540541152,100.0,90.22748945503616,0.0008469019071548556,0.0009386295820376334,913.5926083999766,800.0,0.007989504756436694,0.007016923707246651,851.1882545926795,747.571122999756,103.61713159292356,0.11341721752148778
2025-11-10,105973.3,0.5064467787742615,1.0096701681613922,0.996225022836205,99.62250228362049,100.0,82.00889101578578,0.0007738637092153003,0.0009436339153352778,995.6014994157624,900.0,0.008763368465651995,0.007960557622581929,928.6830754210786,843.6065611051615,85.07651431591705,0.08545237664451243
2025-11-17,92541.0,0.36958566308021545,0.8043784946203232,0.8461217911768724,84.61217911768723,100.0,69.6524461523331,0.0007526658038310922,0.001080602111496526,1065.2539455680956,1000.0,0.009516034269483086,0.009041159734078454,880.6233273322343,836.6779629513543,43.94536438088005,0.0412534162053201
2025-11-24,88275.0,0.5346965193748474,1.0520447790622711,0.9721637327044381,97.21637327044381,100.0,80.02817413467638,0.0009065780134202931,0.0011328235627301047,1145.282119702772,1100.0,0.010422612282903379,0.01017398329680856,920.0560992732958,898.1083755257756,21.947723747520172,0.019163595912259704
2025-12-01,86447.0,0.5649269819259644,1.0973904728889465,1.0796467898102415,107.96467898102415,100.0,88.87614132499915,0.0010280997758742253,0.0011567781415202378,1234.1582610277712,1200.0,0.011450712058777604,0.011330761438328797,989.8797053451476,979.5103340592095,10.369371285938087,0.008401978590090039
2025-12-08,90650.1,0.56683349609375,1.100250244140625,1.0917680919729515,109.17680919729516,100.0,89.87396262565377,0.0009914380968763827,0.0011031427433615627,1324.032223653425,1300.0,0.012442150155653987,0.01243390418169036,1127.8821558250495,1127.1346574606494,0.747498364400144,0.0005645620635557939
2025-12-15,86434.3,0.5581055283546448,1.0871582925319672,1.0991734107314337,109.91734107314338,100.0,90.4835658428793,0.0010468479046267431,0.001156948109720331,1414.5157894963043,1400.0,0.01348899806028073,0.013590852291410691,1165.9121050417227,1174.715804211479,-8.803699169756328,-0.006223825308370182
2025-12-22,88655.0,0.48981282114982605,0.9847192317247391,1.0384423994318748,103.84423994318747,100.0,85.4842105036962,0.0009642345102216029,0.0011279679657097738,1500.0000000000005,1500.0,0.014453232570502333,0.014718820257120464,1281.3513335378843,1304.8970098950147,-23.545676357130333,-0.015697117571420217
