date,prob_up,price,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,btc_purchased,btc_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_btc,cumulative_btc_naive,portfolio_value,portfolio_value_naive,daily_return
2025-09-13,0.6641438603401184,115968.35,1.2462157905101776,1.2462157905101776,124.62157905101776,100.0,123.44875779559595,0.0010645038736482493,0.0008623042407691409,123.44875779559595,100.0,0.0010645038736482493,0.0008623042407691409,123.44875779559595,100.0,
2025-09-14,0.6451448202133179,115314.13,1.2177172303199768,1.2376662224531172,123.76662224531172,100.0,122.60184704035593,0.001063198820824091,0.000867196413830638,246.0506048359519,200.0,0.0021277026944723403,0.001729500654599779,245.35418511173373,199.43586331960404,0.9874982097267144
2025-09-15,0.6601167321205139,115381.08,1.2401750981807709,1.2384188851714133,123.84188851714133,100.0,122.67640497672637,0.0010632280871068843,0.0008666932221469933,368.72700981267826,300.0,0.0031909307815792248,0.0025961938767467725,368.1730397838551,299.5516533884295,0.5005777856048794
2025-09-16,0.647340714931488,116764.2,1.221011072397232,1.2331965413391588,123.31965413391588,100.0,122.15908537302485,0.0010462032487100058,0.0008564268842676094,490.8860951857031,400.0,0.00423713403028923,0.0034526207610143817,494.7455653394977,403.14250106323544,0.34378542662969047
2025-09-17,0.6639331579208374,116469.0,1.245899736881256,1.237007500001788,123.7007500001788,100.0,122.53659472292591,0.0010520962206503526,0.0008585975667344959,613.422689908629,500.0,0.005289230250939583,0.004311218327748878,616.0313580966823,502.12328741458407,0.24514781183325507
2025-09-18,0.6405061483383179,117117.99,1.2107592225074768,1.2291330167534946,122.91330167534946,100.0,121.75655712214564,0.0010396059317799564,0.0008538397901125181,735.1792470307746,600.0,0.00632883618271954,0.005165058117861396,741.2205727593853,604.9212249971098,0.20321889952078598
2025-09-19,0.6593706011772156,115690.55,1.2390559017658234,1.2321098822571932,123.21098822571932,100.0,122.05144212629546,0.0010549819507841864,0.0008643748344181958,857.2306891570701,700.0,0.007383818133503727,0.0060294329522795915,854.2379809650196,697.5484144373497,0.15247473202868322
2025-09-20,0.6506723761558533,115739.1,1.22600856423378,1.2302794868501692,123.02794868501692,100.0,121.87012518183644,0.0010529728085136004,0.000864012248237631,979.1008143389065,800.0,0.008436790942017327,0.006893445200517222,976.4665905172376,797.8411434071829,0.14308496259337256
2025-09-21,0.6941747665405273,115282.27,1.291262149810791,1.2485742857383557,124.85742857383558,100.0,123.6823877242187,0.0010728656516237813,0.000867436076683778,1102.7832020631251,900.0,0.009509656593641109,0.007760881277201001,1096.2947990354146,894.6920108362307,0.12271613763529143
2025-09-22,0.6561986804008484,112736.59,1.2342980206012726,1.2442914061972306,124.42914061972306,100.0,123.2581304140753,0.0010933285317045274,0.0008870234588433091,1226.0413324772005,1000.0,0.010602985125345635,0.00864790473604431,1195.3443868521895,974.9352905864856,0.09034940957844961
2025-09-23,0.6715753078460693,112017.21,1.257362961769104,1.2482128728687925,124.82128728687924,100.0,123.64658656511071,0.0011038177666191713,0.0008927199668693765,1349.6879190423113,1100.0,0.011706802891964806,0.009540624702913687,1311.3633979778292,1068.71416087747,0.09705906716236257
2025-09-24,0.6667428612709045,113348.17,1.2501142919063568,1.2487832985800618,124.87832985800618,100.0,123.70309230513351,0.001091355002071348,0.0008822374459155362,1473.3910113474449,1200.0,0.012798157894036155,0.010422862148829223,1450.6477766600522,1181.41235073206,0.10621341033080878
2025-09-25,0.6815240383148193,109035.72,1.272286057472229,1.255834126247712,125.5834126247712,100.0,124.40153949512289,0.0011409246391469042,0.0009171306430589902,1597.7925508425678,1300.0,0.013939082533183059,0.011339992791888213,1519.8579001450387,1236.4642788583415,0.04770980564581628
2025-09-26,0.6719395518302917,109697.29,1.2579093277454376,1.2564566866970297,125.64566866970297,100.0,124.46320964463166,0.0011346060567643164,0.0009115995481748,1722.2557604871995,1400.0,0.015073688589947376,0.012251592340063013,1653.5427886211482,1343.9664778896708,0.0879588075065123
2025-09-27,0.6849015355110168,109681.16,1.2773523032665253,1.2627253716678783,126.27253716678783,100.0,125.084178644187,0.0011404344979957088,0.0009117336104030992,1847.3399391313865,1500.0,0.016214123087943084,0.013163325950466112,1778.3838286683795,1443.7688597052259,0.07549912884403387
2025-09-28,0.6805579662322998,112197.67,1.2708369493484497,1.2651588449720497,126.51588449720496,100.0,125.325235818086,0.0011170039076398466,0.0008912841059890103,1972.6651749494724,1600.0,0.01733112699558293,0.014054610056455122,1944.5120673785052,1576.8945010928333,0.09341528866381976
2025-09-29,0.7032718062400818,114365.2,1.3049077093601227,1.2770835042884714,127.70835042884714,100.0,126.50647938036289,0.001106162358657729,0.0008743918604610494,2099.1716543298353,1700.0,0.01843728935424066,0.014929001916916172,2108.584284455604,1707.3582900285014,0.08437706292987568
2025-09-30,0.6302613615989685,113995.0,1.1953920423984528,1.2525760657214657,125.25760657214657,100.0,124.07879962306325,0.0010884582624068008,0.0008772314575200667,2223.2504539528986,1800.0,0.019525747616647462,0.01580623337443624,2225.8375995597276,1801.831573518859,0.05560760172999002
2025-10-01,0.6616089344024658,118659.97,1.2424134016036987,1.2495272664861354,124.95272664861355,100.0,123.77678894302235,0.0010431216942244496,0.0008427441874458589,2347.027242895921,1900.0,0.02056886931087191,0.0166489775618821,2440.7014153619816,1975.567178023603,0.09653166782911482
2025-10-02,0.6631942987442017,120621.32,1.2447914481163025,1.2481065209751856,124.81065209751856,100.0,123.63605146416354,0.0010249933549405987,0.0008290408362302783,2470.663294360085,2000.0,0.02159386266581251,0.017478018398112378,2604.680218649024,2108.2216501646008,0.06718511418682604
2025-10-03,0.6750255227088928,122318.4,1.2625382840633392,1.2524360499016316,125.24360499016316,100.0,124.06492981081895,0.001014278553437741,0.0008175384897120957,2594.7282241709036,2100.0,0.02260814121925025,0.018295556887824475,2765.39166091274,2237.883245627669,0.06170102614249995
2025-10-04,0.6574228405952454,122458.56,1.236134260892868,1.2475455131990025,124.75455131990026,100.0,123.58047865437344,0.0010091616188723225,0.0008166027756654986,2718.308702825277,2200.0,0.023617302838122575,0.019112159663489975,2892.1408966404038,2340.447550881067,0.045834099205256607
2025-10-05,0.6728788018226624,123520.79,1.2593182027339935,1.2510773200594998,125.10773200594998,100.0,123.93033553551908,0.0010033156000339625,0.0008095803143746086,2842.2390383607963,2300.0,0.024620618438156536,0.019921739977864582,3041.158239769661,2460.7490602404155,0.0515249251177079
