date,price,prob_up,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,units_purchased,units_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_units,cumulative_units_naive,portfolio_value,portfolio_value_naive,dynamic_pct,naive_pct,tracking_error
2025-09-15,115381.08,0.8184496760368347,1.0,1.0,100.0,100.0,105.16167510267911,0.0009114291104111619,0.0008666932221469933,105.16167510267911,100.0,0.0009114291104111619,0.0008666932221469933,105.16167510267911,100.0,0.0,0.0,0.0
2025-09-22,112736.59,0.8166204690933228,1.0,1.0,100.0,100.0,105.16167510267911,0.0009328087278733472,0.0008870234588433091,210.32335020535822,200.0,0.0018442378382845092,0.0017537166809903023,207.913085037167,197.70803844096451,0.977080384409645,0.9770803844096452,-2.220446049250313e-16
2025-09-29,114365.2,0.8520024418830872,1.0,1.0,100.0,100.0,105.16167510267911,0.00091952512742232,0.0008743918604610494,315.48502530803734,300.0,0.002763762965706829,0.0026281085414513517,316.07830432565464,300.5641589647921,0.5202424814635971,0.5202424814635969,2.220446049250313e-16
2025-10-06,124720.09,0.8489865660667419,1.6,1.1720695039099855,117.20695039099856,100.0,123.25679236794018,0.0009882673462466246,0.0008017954445029667,438.74181767597753,400.0,0.0037520303119534535,0.0034299039859543184,467.9535581895628,427.77793381958134,0.48049882508680963,0.4232499819437585,0.05724884314305112
2025-10-13,115274.03,0.8046173453330994,0.7,0.880848083545854,88.08480835458539,100.0,92.63145997666663,0.0008035761391934214,0.0008674980826123629,531.3732776526442,500.0,0.004555606451146875,0.0042974020685666815,525.1431147176984,495.3788549740177,0.12221203477839304,0.15802806972962657,-0.03581603495123353
2025-10-20,110574.4,0.7523919343948364,0.7,0.7148936173267602,71.48936173267602,100.0,75.17941031829577,0.0006798988763972111,0.000904368461416024,606.55268797094,600.0,0.005235505327544086,0.005201770529982706,578.9128602899908,575.1826552905196,0.10239065135833969,0.16109650122366959,-0.058705849865329895
2025-10-27,114087.06,0.669711172580719,0.7,0.7012265534294131,70.12265534294131,100.0,73.7421589851154,0.0006463674231338366,0.0008765235952263123,680.2948469560554,700.0,0.005881872750677922,0.006078294125209018,671.0455694189571,693.4547065603688,0.15914780176556276,0.20562520476232193,-0.046477402996759176
2025-11-03,106538.3,0.5132863521575928,0.7,0.7001010119490918,70.01010119490918,100.0,73.62379515764727,0.0006910547207684679,0.0009386295820376334,753.9186421137026,800.0,0.00657292747144639,0.007016923707246651,700.268518831197,747.571122999756,0.043548382917635964,0.07803886241945368,-0.03449047950181772
2025-11-10,105973.3,0.5777157545089722,0.7,0.8001389243727466,80.01389243727466,100.0,84.14394960189391,0.0007940108461460944,0.0009436339153352778,838.0625917155966,900.0,0.007366938317592484,0.007960557622581929,780.6987644117237,843.6065611051615,0.11485629214743387,0.12846327948041525,-0.01360698733298138
2025-11-17,92541.0,0.3494563102722168,0.7,0.7981141539086348,79.81141539086349,100.0,83.93102134818949,0.0009069603888891355,0.001080602111496526,921.993613063786,1000.0,0.00827389870648162,0.009041159734078454,765.6748601965156,836.6779629513543,-0.019244175730864566,-0.008213068121151745,-0.01103110760971282
2025-11-24,88275.0,0.45228204131126404,0.9661805623703145,0.9845931848320497,98.45931848320497,100.0,103.54146861162009,0.0011729421536292278,0.0011328235627301047,1025.5350816754062,1100.0,0.009446840860110847,0.01017398329680856,833.919876926285,898.1083755257756,0.08913054388680575,0.07342181256660263,0.015708731320203118
2025-12-01,86447.0,0.5759939551353455,1.3153868666854795,1.1081140299935137,110.81140299935137,100.0,116.53112759889831,0.0013480066121311128,0.0011567781415202378,1142.0662092743046,1200.0,0.01079484747224196,0.011330761438328797,933.1821794329007,979.5103340592095,0.11903098277556712,0.090637122146622,0.02839386062894511
2025-12-08,90650.1,0.6073066592216492,0.9166613977269158,0.9296313813818167,92.96313813818166,100.0,97.76159329412937,0.0010784499222188323,0.0011031427433615627,1239.827802568434,1300.0,0.011873297394460794,0.01243390418169036,1076.3155961376106,1127.1346574606494,0.1533820725034556,0.15071236950575773,0.002669702997697865
2025-12-15,86434.3,0.6433782577514648,1.3613571066563153,1.1842106387782076,118.42106387782077,100.0,124.53357444832997,0.0014407888355471147,0.001156948109720331,1364.361377016764,1400.0,0.013314086230007908,0.013590852291410691,1150.7937234303724,1174.715804211479,0.06919729451104195,0.04221425225094788,0.02698304226009407
2025-12-22,88655.0,0.6332743763923645,1.3683500168784157,1.2898104071735221,128.98104071735222,100.0,135.6386229832362,0.001529960216380759,0.0011279679657097738,1500.0000000000002,1500.0,0.014844046446388667,0.014718820257120464,1315.9989377045872,1304.8970098950147,0.14355762541158001,0.11081931920624744,0.03273830620533258
