date,price,prob_up,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,units_purchased,units_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_units,cumulative_units_naive,portfolio_value,portfolio_value_naive,dynamic_pct,naive_pct,tracking_error,block
2025-09-01,109240.55,0.6403090357780457,1.0,1.0,100.0,100.0,108.14334651271318,0.000989956078697088,0.0009154109897835556,108.14334651271318,100.0,0.000989956078697088,0.0009154109897835556,108.1433465127132,100.0,0.0,0.0,0.0,5
2025-09-08,112072.57,0.6372950077056885,1.0,1.0,100.0,100.0,108.14334651271318,0.0009649403642007422,0.0008922789938697756,216.28669302542636,200.0,0.00195489644289783,0.0018076899836533312,219.09026843941808,202.59246223128685,1.0259246223128677,1.0259246223128686,-8.881784197001252e-16,5
2025-09-15,115381.08,0.6380359530448914,1.0,1.0,100.0,100.0,108.14334651271318,0.0009372710544286219,0.0008666932221469933,324.43003953813957,300.0,0.002892167497326452,0.0026743832058003245,333.70140938242315,308.5732226191037,0.5231229198785561,0.5231229198785561,0.0,5
2025-09-22,112736.59,0.6326112747192383,0.7,0.9364083501725752,93.64083501725752,100.0,101.26633269011086,0.0008982561268715939,0.0008870234588433091,425.6963722282504,400.0,0.003790423624198046,0.0035614066646436336,427.31943404752917,401.5008429751968,0.28054428909474405,0.30115257431394493,-0.020608285219200884,5
2025-09-29,114365.2,0.646298885345459,1.6,1.2394749131220024,123.94749131220024,100.0,134.04096502356776,0.0011720432878495185,0.0008743918604610494,559.7373372518182,500.0,0.004962466912047565,0.004435798525104683,567.5335208897021,507.3009854833021,0.32812476023867765,0.263511632314658,0.06461312792401963,5
2025-10-06,124720.09,0.6360588669776917,0.7,0.7444280788377231,74.4428078837723,100.0,80.50494368354124,0.0006454849710543125,0.0008017954445029667,640.2422809353594,600.0,0.005607951883101877,0.00523759396960765,699.4242635761356,653.2331912729234,0.23239286814226068,0.28766395091977337,-0.05527108277751269,5
2025-10-13,115274.03,0.6160789132118225,0.7,0.7661581712078561,76.61581712078561,100.0,82.85490859247781,0.000718764743389971,0.0008674980826123629,723.0971895278373,700.0,0.0063267166264918484,0.0061050920522200125,729.3061222037202,703.7585643803712,0.04272350872530439,0.07734661034138757,-0.034623101616083174,5
2025-10-20,107199.0,0.6091558933258057,0.7,0.7111192038349042,71.11192038349043,100.0,76.90281047216277,0.0007173836553714379,0.0009328445228033844,800.0,800.0,0.007044100281863286,0.007037936575023397,755.1205061154625,754.4597629059331,0.035395814083857946,0.07204345508775734,-0.03664764100389939,5
