date,price,prob_up,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,btc_purchased,btc_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_btc,cumulative_btc_naive,portfolio_value,portfolio_value_naive,dynamic_pct,naive_pct,tracking_error
2025-09-15,660.91,0.4554099142551422,0.9331148713827133,0.9331148713827133,93.31148713827133,100.0,101.72775063633993,0.1539207314707599,0.15130653190298227,101.72775063633993,100.0,0.1539207314707599,0.15130653190298227,101.72775063633992,100.0,0.0,0.0,0.0
2025-09-22,666.84,0.388650506734848,0.832975760102272,0.8652428893756866,86.52428893756866,100.0,94.32837862700333,0.14145578943525183,0.14996101013736426,196.05612926334328,200.0,0.29537652090601174,0.30126754204034656,196.9688792009649,200.8972477341847,0.9362354713326597,1.008972477341847,-0.0727370060091872
2025-09-29,663.68,0.32622525095939636,0.7393378764390945,0.7877858322501292,78.77858322501292,100.0,85.88404617239638,0.1294058072751874,0.15067502410800387,281.94017543573966,300.0,0.42478232818119915,0.45194256614835043,281.9195355672982,299.9452423013372,0.431289738312717,0.4930281309687574,-0.06173839265604042
2025-10-06,671.61,0.2853454053401947,0.7,0.719453610925322,71.9453610925322,100.0,78.43449908602683,0.11678578205510166,0.14889593662988937,360.3746745217665,400.0,0.5415681102363008,0.6008385027782398,363.722558515802,403.52914685089365,0.29016443569224104,0.3453427157397344,-0.05517828004749337
2025-10-13,663.04,0.24695856869220734,0.7,0.7117603396100354,71.17603396100354,100.0,77.59578221424505,0.11703031825266207,0.15082046332046334,437.97045673601156,500.0,0.6585984284889629,0.7516589660987032,436.6771020253219,498.37996088208416,0.20057745059095744,0.23505319199715324,-0.0344757414061958
2025-10-20,671.3,0.20462509989738464,0.7,0.7019765602782585,70.19765602782584,100.0,76.52915912777644,0.11400142876177036,0.14896469536719797,514.499615863788,600.0,0.7725998572507332,0.9006236614659011,518.6462841724172,604.5886639420594,0.18771119842767026,0.21310789236388272,-0.025396693936212467
2025-10-27,685.24,0.46284738183021545,0.9442710727453232,0.774473442274831,77.4473442274831,100.0,84.43273558962312,0.12321629734052758,0.1459342712042496,598.9323514534111,700.0,0.8958161545912608,1.0465579326701506,613.8490617721156,717.143357782894,0.1835601266316016,0.18616739041541353,-0.0026072637838119306
2025-11-03,683.34,0.3888610303401947,0.833291545510292,0.8921512786000201,89.21512786000201,100.0,97.26191874407631,0.14233312661936418,0.1463400357069687,696.1942701974874,800.0,1.038149281210625,1.1928979683771193,709.4089298224685,815.1548977108207,0.15567323304931335,0.13666938257775585,0.019003850471557504
2025-11-10,681.44,0.41882726550102234,0.8782408982515335,0.8746140296717098,87.46140296717098,100.0,95.35001599711552,0.13992430147498755,0.14674806292556938,791.5442861946029,900.0,1.1780735826856126,1.3396460313026886,802.7864621852839,912.8883915709042,0.13162722999015997,0.11989561018960448,0.011731619800555482
2025-11-17,665.67,0.41522789001464844,0.8728418350219727,0.8968782313478385,89.68782313478386,100.0,97.77724894097616,0.1468854671849057,0.1502245857557048,889.3215351355791,1000.0,1.3249590498705182,1.4898706170583933,881.9854907273078,991.7621736572606,0.09865516207938341,0.08640024653027956,0.01225491554910385
2025-11-24,668.73,0.5877589583396912,1.1316384375095367,1.0832087401300297,108.32087401300296,100.0,118.09091461565254,0.17658982641073756,0.14953718242040884,1007.4124497512316,1100.0,1.5015488762812557,1.639407799478802,1004.1307800355642,1096.3211777454594,0.13848900077430093,0.10542749750438962,0.03306150326991131
2025-12-01,680.27,0.6153540015220642,1.1730310022830963,1.1361973674476427,113.61973674476427,100.0,123.867710197466,0.18208609845718024,0.14700045570141268,1131.2801599486977,1200.0,1.6836349747384358,1.7864082551802147,1145.3263642653158,1215.2399437514446,0.1406147356868701,0.10847073687889242,0.03214399880797769
2025-12-08,683.63,0.5782908797264099,1.1174363195896149,1.129450399116405,112.9450399116405,100.0,123.1321588382487,0.18011520681984217,0.14627795737460322,1254.4123187869463,1300.0,1.863750181558278,1.9326862125548179,1274.1155366186856,1321.24227548885,0.11244757509444336,0.08722749139579489,0.025220083698648477
2025-12-15,680.73,0.5883929133415222,1.1325893700122833,1.1300082799489226,113.00082799489226,100.0,123.19297874794647,0.18097186659607548,0.14690112085555213,1377.6052975348928,1400.0,2.0447220481543535,2.07958733341037,1391.903639840113,1415.6374854724413,0.09244695621090981,0.07144428522669366,0.021002670984216154
2025-12-22,678.87,0.5704003572463989,1.1056005358695984,1.1226859567251253,112.26859567251253,100.0,122.39470246510751,0.18029181207758116,0.14730360746534682,1500.0000000000002,1500.0,2.2250138602319347,2.226890940875717,1510.4951592956536,1511.7694530322979,0.0852009550525803,0.06790719272863455,0.01729376232394575
