date,price,prob_up,allocation_mult_raw,allocation_mult_smooth,amount_dynamic_raw,amount_naive,amount_dynamic,units_purchased,units_purchased_naive,cumulative_invested,cumulative_invested_naive,cumulative_units,cumulative_units_naive,portfolio_value,portfolio_value_naive,dynamic_pct,naive_pct,tracking_error,block,test_window_start,test_window_end
2025-05-05,94733.99,0.3245740830898285,1.0,1.0,100.0,100.0,80.80447065437735,0.0008529617580171314,0.001055587334598701,80.80447065437735,100.0,0.0008529617580171314,0.001055587334598701,80.80447065437735,100.0,0.0,0.0,0.0,1,2025-05-02,2025-06-30
2025-05-12,102825.0,0.38363179564476013,1.0,1.0,100.0,100.0,80.80447065437735,0.0007858445966873557,0.0009725261366399222,161.6089413087547,200.0,0.0016388063547044872,0.002028113471238623,168.5102634224889,208.5407676801114,1.0854076768011143,1.0854076768011138,4.440892098500626e-16,1,2025-05-02,2025-06-30
2025-05-19,105616.18,0.4409589171409607,1.5969506600156893,1.1790851980047068,117.90851980047069,100.0,95.27535528118206,0.0009020905251561083,0.0009468246247876037,256.88429658993675,300.0,0.0025408968798605954,0.002974938096026227,268.359822224795,314.20159743876326,0.5925428918947406,0.5066675016787558,0.08587539021598478,1,2025-05-02,2025-06-30
2025-05-26,109464.32,0.46931418776512146,1.591576975784882,1.5628089488575034,156.28089488575034,100.0,126.28194984635446,0.0011536357220905812,0.000913539681240426,383.1662464362912,400.0,0.0036945326019511768,0.003888477777266653,404.4194989904163,425.64957572360566,0.507004646364869,0.3547021377145074,0.15230250865036155,1,2025-05-02,2025-06-30
2025-06-02,105904.94,0.4689212143421173,1.0,1.0,100.0,100.0,91.41516361286251,0.0008631812983687306,0.0009442430164258626,91.41516361286251,100.0,0.0008631812983687306,0.0009442430164258626,91.41516361286251,100.0,-0.7739595547665994,-0.7650649602316655,-0.008894594534933908,2,2025-06-01,2025-07-30
2025-06-09,110301.15,0.5356721878051758,1.0,1.0,100.0,100.0,91.41516361286251,0.000828777973873006,0.0009066088612856712,182.83032722572503,200.0,0.0016919592722417368,0.0018508518777115338,186.62505348142665,204.15109059124154,1.0415109059124155,1.0415109059124155,0.0,2,2025-06-01,2025-07-30
2025-06-16,106853.38,0.5624897480010986,1.0,1.0,100.0,100.0,91.41516361286251,0.0008555196252365859,0.000935861832353829,274.24549083858756,300.0,0.0025474788974783227,0.002786713710065363,272.2067306742323,297.7697790128241,0.4585754998930136,0.4585754998930138,-2.220446049250313e-16,2,2025-06-01,2025-07-30
2025-06-23,105382.0,0.5573062300682068,1.346727987910974,1.315912629775923,131.5912629775923,100.0,120.29436835119817,0.0011415077371011953,0.0009489286595433756,394.5398591897857,400.0,0.0036889866345795183,0.0037356423696087385,388.7527895252588,393.66946419410806,0.42815274465239006,0.3220598325968931,0.10609291205549698,2,2025-06-01,2025-07-30
2025-06-30,107173.21,0.5453729033470154,1.4865442999712781,1.435214534000305,143.5214534000305,100.0,131.2003714451961,0.0012241899952907644,0.00093306900110578,525.7402306349818,500.0,0.004913176629870283,0.004668711370714519,526.5609107201801,500.360784162975,0.35448780023729554,0.2710175151310701,0.08347028510622545,2,2025-06-01,2025-07-30
2025-07-07,108269.84,0.051371634006500244,1.0,1.0,100.0,100.0,102.04495376992801,0.0009425058148227431,0.0009236182486276881,102.04495376992801,100.0,0.0009425058148227431,0.0009236182486276881,102.04495376992801,100.0,-0.8062048441264646,-0.8001442096081045,-0.006060634518360142,3,2025-07-01,2025-08-29
