block,train_start,train_end,val_end,test_start,test_end,temp,best_val_f1,alpha_vs_naive,unit_accumulation_improvement,unit_cost_improvement,max_drawdown_pct,information_ratio
1,2024-01-03,2025-01-01,2025-05-01,2025-05-02,2025-06-30,1.496185302734375,0.7017543859649122,-0.12634644667444667,-0.127999869136036,-0.12816391878437103,-5.480884179798517,1.0595737368862796
2,2024-02-02,2025-01-31,2025-05-31,2025-06-01,2025-07-30,1.4950207471847534,0.7346938775510204,0.922672103524462,0.8644077493299982,0.8569997768471875,-5.480884179798529,2.498199430136839
3,2024-03-03,2025-03-02,2025-06-30,2025-07-01,2025-08-29,1.4891161918640137,0.7272727272727273,0.2113067738881116,0.21661593795821868,0.21614772753086642,-4.770548167369437,1.2187069494628533
4,2024-04-02,2025-04-01,2025-07-30,2025-07-31,2025-09-28,1.4910861253738403,0.6341463414634146,0.07717227120969117,0.07524033558457585,0.07518376706593066,-4.770548167369448,3.792080667779303
5,2024-05-02,2025-05-01,2025-08-29,2025-08-30,2025-10-28,1.4940773248672485,0.72,0.08259290119117732,0.08757832319436915,0.08750169068090874,-11.186008605349773,-2.036227346290413
6,2024-06-01,2025-05-31,2025-09-28,2025-09-29,2025-11-27,1.4882246255874634,0.78125,0.5719262790337049,0.6784544211097694,0.6738824359301198,-11.186008605349784,-1.9041928929853393
7,2024-07-01,2025-06-30,2025-10-28,2025-10-29,2025-12-27,1.4932268857955933,0.8125,-0.0657836923293631,-0.07025779895595326,-0.07030719524384764,-11.11902715117864,0.41068033571403095
