date,equity
2025-01-03,100000.0
2025-01-06,100000.0
2025-01-07,100000.0
2025-01-08,100000.0
2025-01-10,100000.0
2025-01-13,100000.0
2025-01-14,100000.0
2025-01-15,100000.0
2025-01-16,100000.0
2025-01-17,100000.0
2025-01-21,100000.0
2025-01-22,100000.0
2025-01-23,100000.0
2025-01-24,100000.0
2025-01-27,100000.0
2025-01-28,100000.0
2025-01-29,100000.0
2025-01-30,100000.0
2025-01-31,100000.0
2025-02-03,100000.0
2025-02-04,100000.0
2025-02-05,99900.3037
2025-02-06,100246.8037
2025-02-07,99331.0537
2025-02-10,100004.2537
2025-02-11,100080.1537
2025-02-12,99658.84930000002
2025-02-13,99559.46331000002
2025-02-14,99554.57331000002
2025-02-18,99846.34331000001
2025-02-19,100081.06331000001
2025-02-20,99665.41331000002
2025-02-21,97865.90309000004
2025-02-24,97768.55786000004
2025-02-25,97284.44786000003
2025-02-26,97333.34786000002
2025-02-27,95786.47786000003
2025-02-28,97274.66786000003
2025-03-03,95482.68335000004
2025-03-04,95387.50145000004
2025-03-05,96410.50145000003
2025-03-06,94702.75145000004
2025-03-07,95232.40145000002
2025-03-10,92701.30145000004
2025-03-11,91840.67465000002
2025-03-12,91749.01997000002
2025-03-13,90527.21997
2025-03-14,92395.17997000001
2025-03-17,93106.93997
2025-03-18,92101.61997000001
2025-03-19,93010.65065000001
2025-03-20,92917.91029000001
2025-03-21,92670.27029000001
2025-03-24,94326.67029000002
2025-03-25,94552.99029000002
2025-03-26,93426.31029000002
2025-03-27,93085.66917000002
2025-03-28,92992.87395000004
2025-03-31,93615.78395000004
2025-04-01,93879.64395000004
2025-04-02,94472.49395000003
2025-04-03,89826.55395000005
2025-04-04,84495.03219000003
2025-04-07,84495.03219000003
2025-04-08,84495.03219000003
2025-04-09,84495.03219000003
2025-04-10,84495.03219000003
2025-04-11,84495.03219000003
2025-04-14,84495.03219000003
2025-04-15,84495.03219000003
2025-04-16,84495.03219000003
2025-04-17,84495.03219000003
2025-04-21,84495.03219000003
2025-04-22,84495.03219000003
2025-04-23,84495.03219000003
2025-04-24,84495.03219000003
2025-04-25,84495.03219000003
2025-04-28,84495.03219000003
2025-04-29,84495.03219000003
2025-04-30,84495.03219000003
2025-05-01,84495.03219000003
2025-05-02,84495.03219000003
2025-05-05,84495.03219000003
2025-05-06,84495.03219000003
2025-05-07,84410.85969000004
2025-05-08,84997.35969000003
2025-05-09,84889.35969000004
2025-05-12,87686.85969000004
2025-05-13,88264.35969000004
2025-05-14,88288.72119000004
2025-05-15,88200.74265000004
2025-05-16,88758.00265000004
2025-05-19,88854.85265000004
2025-05-20,88556.85265000004
2025-05-21,87068.34265000004
2025-05-22,87015.73224000004
2025-05-23,86928.86574000005
2025-05-27,88734.86574000005
2025-05-28,88221.86574000005
2025-05-29,88569.86574000005
2025-05-30,88470.86574000005
2025-06-02,88879.95924000005
2025-06-03,88879.95924000005
2025-06-04,88879.95924000005
2025-06-05,88791.59479000006
2025-06-06,89699.00479000006
2025-06-09,89779.46479000006
2025-06-10,90286.06479000008
2025-06-11,90029.78479000006
2025-06-12,90295.93604000006
2025-06-13,90295.93604000006
2025-06-16,90295.93604000006
2025-06-17,90295.93604000006
2025-06-18,90295.93604000006
2025-06-20,90295.93604000006
2025-06-23,90295.93604000006
2025-06-24,90295.93604000006
2025-06-25,90295.93604000006
2025-06-26,90295.93604000006
2025-06-27,90295.93604000006
2025-06-30,90295.93604000006
2025-07-01,90295.93604000006
2025-07-02,90295.93604000006
2025-07-03,90295.93604000006
2025-07-07,90295.93604000006
2025-07-08,90295.93604000006
2025-07-09,90206.07140000007
2025-07-10,90459.51140000009
2025-07-11,90142.71140000009
2025-07-14,90314.07140000007
2025-07-15,89929.59140000009
2025-07-16,90139.2237200001
2025-07-17,90049.4140000001
2025-07-18,89983.63400000011
2025-07-21,90153.8040000001
2025-07-22,90166.6740000001
2025-07-23,90931.7240000001
2025-07-24,90871.0319400001
2025-07-25,90780.56374000011
2025-07-28,90757.84374000013
2025-07-29,90519.28374000012
2025-07-30,90405.68374000012
2025-07-31,90067.72374000012
2025-08-01,88508.31950000013
2025-08-04,88508.31950000013
2025-08-05,88508.31950000013
2025-08-06,88420.36308000014
2025-08-07,88346.69308000014
2025-08-08,89031.96308000013
2025-08-11,88856.82308000013
2025-08-12,89797.85308000015
2025-08-13,90014.01337000013
2025-08-14,89924.36532000014
2025-08-15,89714.47532000014
2025-08-18,89695.01532000014
2025-08-19,89209.90532000014
2025-08-20,88973.60532000015
2025-08-21,88529.42387000013
2025-08-22,88441.01640000014
2025-08-25,88051.93640000015
2025-08-26,88420.46640000015
2025-08-27,88621.85640000015
2025-08-28,88935.58640000015
2025-08-29,88317.02455000015
2025-09-02,88229.30756000016
2025-09-03,88704.69756000018
2025-09-04,89441.75756000017
2025-09-05,89184.19756000018
